,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
Equity Capital,196,197,197,191,375,375,370,366,366,362,362,362
Reserves,"50,439","70,875","86,017","84,937","89,071","83,751","86,063","88,773","90,058","90,127","94,394","1,06,878"
Borrowings +,358,245,289,247,62,"8,174","7,795","7,818","7,688","8,021","9,392","11,283"
Other Liabilities +,"22,325","16,974","15,830","19,751","24,393","27,827","35,764","43,967","44,747","46,962","54,501","62,644"
Total Liabilities,"73,318","88,291","1,02,333","1,05,126","1,13,901","1,20,127","1,29,992","1,40,924","1,42,859","1,45,472","1,58,649","1,81,167"
Fixed Assets +,"11,638","11,774","11,701","11,973","12,290","20,928","21,021","21,298","20,515","19,604","23,053","31,343"
CWIP,"2,766","1,670","1,541","1,278",963,906,926,"1,205","1,234","1,564","1,546","2,665"
Investments,"1,662","22,822","41,980","36,008","29,330","26,356","29,373","30,485","37,163","31,762","30,964","33,988"
Other Assets +,"57,252","52,025","47,111","55,867","71,318","71,937","78,672","87,936","83,947","92,542","1,03,086","1,13,171"
Total Assets,"73,318","88,291","1,02,333","1,05,126","1,13,901","1,20,127","1,29,992","1,40,924","1,42,859","1,45,472","1,58,649","1,81,167"
