,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
Sales +,"94,648","1,08,646","1,17,966","1,23,104","1,46,463","1,56,949","1,64,177","1,91,754","2,25,458","2,40,893","2,55,324","2,67,021"
Expenses +,"70,167","77,969","85,655","90,588","1,06,957","1,14,840","1,17,631","1,38,697","1,66,199","1,76,597","1,87,917","1,94,623"
Operating Profit,"24,482","30,677","32,311","32,516","39,506","42,109","46,546","53,057","59,259","64,296","67,407","72,398"
OPM %,26%,28%,27%,26%,27%,27%,28%,28%,26%,27%,26%,27%
Other Income +,"3,720","3,084","4,221","3,642","4,311","4,592","1,916","4,018","3,449","3,464","3,962",-124
Interest,104,33,32,52,198,924,637,784,779,778,796,"1,227"
Depreciation,"1,799","1,888","1,987","2,014","2,056","3,529","4,065","4,604","5,022","4,985","5,242","5,560"
Profit before tax,"26,298","31,840","34,513","34,092","41,563","42,248","43,760","51,687","56,907","61,997","65,331","65,487"
Tax %,24%,24%,24%,24%,24%,23%,26%,26%,26%,26%,25%,24%
Net Profit +,"20,060","24,338","26,357","25,880","31,562","32,447","32,562","38,449","42,303","46,099","48,797","49,454"
EPS in Rs,50.68,61.58,66.71,67.46,83.87,86.19,87.67,104.75,115.19,126.88,134.2,136.01
Dividend Payout %,78%,35%,35%,37%,36%,85%,43%,41%,100%,58%,94%,81%
