quarter,sales,net_profit,expenses,total_assets,total_liabilities,reserves,cash_from_operating_activity,roce,profit_margin,expense_ratio,debt_to_equity,asset_turnover
mar-23,59162,15774,43388,20515.0,44747.0,90058.0,41965.0,,0.2666238463878841,0.7333761536121158,0.4968686846254636,2.8838410918839874
jun-23,59381,14998,44383,,,,,,0.25257237163402435,0.7474276283659756,,
sep-23,59692,15746,43946,,,,,,0.26378744220331035,0.7362125577966897,,
dec-23,60583,16388,44195,,,,,,0.270504927124771,0.7294950728752291,,
mar-24,61237,17164,44073,19604.0,46962.0,90127.0,44338.0,,0.28028806113950716,0.7197119388604929,0.5210647197843044,3.12369924505203
jun-24,62613,16662,45951,,,,,,0.266110871544248,0.733889128455752,,
sep-24,64259,16731,47528,,,,,,0.2603681974509407,0.7396318025490592,,
dec-24,63973,17034,46939,,,,,,0.26626858205805576,0.7337314179419443,,
mar-25,64479,16980,47499,23053.0,54501.0,94394.0,48908.0,,0.2633415530637882,0.7366584469362117,0.5773777994364049,2.796989545829176
jun-25,63437,16875,46562,,,,,,0.2660119488626511,0.7339880511373489,,
sep-25,65799,17978,47821,,,,,,0.27322603686986124,0.7267739631301388,,
dec-25,67087,18269,48818,,,,,,0.272318034790645,0.727681965209355,,
mar-26,70698,19276,51422,31343.0,62644.0,106878.0,52094.0,,0.2726526917310249,0.7273473082689751,0.5861262373921667,2.255623265162875
